Date,Average Flow,Average Temperature,Average Flow Scaled,Cluster,Cluster_0_Prob,Cluster_1_Prob,Cluster_2_Prob,Cluster_3_Prob,Cluster Name,Average Temperature (K),k
2023-09-05,386.64,16.08,0.9184040237136988,1,8.010625524139628e-14,0.9999929440601524,7.055939767326969e-06,0.0,Upper-Medium,289.23,3.062
2023-09-06,424.31,15.53,1.09945724429174,1,1.1973956596320345e-17,0.9997890906550124,0.0002109093449876,0.0,Upper-Medium,288.68,2.938
2023-09-08,411.07,15.26,1.0358218675873794,1,2.964947552795138e-16,0.9999326755028296,6.732449717019468e-05,0.0,Upper-Medium,288.41,2.879
2023-09-09,431.41,15.48,1.1335819553643205,1,2.036133554780931e-18,0.9996199162023992,0.0003800837976007,0.0,Upper-Medium,288.63,2.927
2023-09-10,437.18,15.76,1.1613142909824592,1,4.70079166767588e-19,0.9993939508904331,0.0006060491095669,0.0,Upper-Medium,288.91,2.989
2023-09-11,420.57,16.49,1.0814816922619583,1,3.001661733745151e-17,0.9998463596850744,0.0001536403149256,0.0,Upper-Medium,289.64,3.157
2023-09-12,358.95,16.5,0.7853176505306363,1,2.755482261365778e-11,0.9999995663773394,4.3359510557160123e-07,0.0,Upper-Medium,289.65,3.159
2023-09-13,322.6,16.5,0.6106087424336946,1,2.6052447028771344e-08,0.9999999662977812,7.649771647447314e-09,2.8435677586628273e-286,Upper-Medium,289.65,3.159
2023-09-15,407.86,15.47,1.020393653144706,1,6.33713542739428e-16,0.9999493906182432,5.060938175603181e-05,0.0,Upper-Medium,288.62,2.925
2023-09-16,405.69,16.03,1.0099639879295652,1,1.0546685653922817e-15,0.9999583489683612,4.1651031637668e-05,0.0,Upper-Medium,289.18,3.05
2023-09-17,417.42,16.64,1.066341855659335,1,6.459741845020652e-17,0.9998827549654128,0.000117245034587,0.0,Upper-Medium,289.79,3.192
2023-09-18,352.9,16.26,0.7562395516589306,1,9.190684752204135e-11,0.999999771827086,2.280810074375952e-07,0.0,Upper-Medium,289.41,3.103
